"tag","total","%_retweeted","avg_rt_freq","%_liked","avg_like_freq","%_replied","avg_reply_freq","%_interacted","avg_interact_freq","as_replies","as_quotes"
"#KidneyStones","394","0.8477","3.9518","0.3934","1.0000","0.0000","0.0000","1.0000","4.9518","0.0051","0.0228"
"#STD","1294","0.8802","81.8006","0.2589","1.1020","0.0000","0.0000","1.0000","82.9026","0.0348","0.0958"
"#Gestationaldiabetes","160","0.9000","11.5250","0.2750","1.0000","0.0000","0.0000","1.0000","12.5250","0.0000","0.1125"
"unknown-#BCD2020","22676","0.8886","81.6377","0.2645","1.9442","0.0000","0.0000","1.0000","83.5819","0.0255","0.1624"
"#KeratosisPilaris","7","0.2857","0.8571","0.7143","0.8571","0.0000","0.0000","1.0000","1.7143","0.0000","0.0000"
"#LiFraumeni","88","0.8182","2.8636","0.3977","1.3295","0.0000","0.0000","1.0000","4.1932","0.0227","0.0795"
"#Bedwetting","112","0.8661","6.5625","0.2411","0.8750","0.0000","0.0000","1.0000","7.4375","0.0000","0.0982"
"#Autoimmune","2657","0.8559","13.0324","0.2939","1.5235","0.0000","0.0000","1.0000","14.5559","0.0162","0.1457"
"#BladderCancer","7574","0.9364","16.6930","0.2210","1.5016","0.0000","0.0000","1.0000","18.1946","0.0191","0.2532"
"#Bipolar","10020","0.8469","226.3501","0.3098","1.8503","0.0000","0.0000","1.0000","228.2004","0.0250","0.1084"
"#Bursitis","9","0.5556","0.5556","0.5556","0.5556","0.0000","0.0000","1.0000","1.1111","0.0000","0.0000"
"#KidneyCancer","1327","0.9299","49.0106","0.2298","2.2404","0.0000","0.0000","1.0000","51.2509","0.0158","0.2133"
"#Hypoglycemia","293","0.8976","8.9249","0.2799","1.5256","0.0000","0.0000","1.0000","10.4505","0.0102","0.1195"
"#PulmonaryEmbolism","364","0.9615","115.5742","0.1099","0.6071","0.0000","0.0000","1.0000","116.1813","0.0055","0.1566"
"#Sciatica","553","0.6130","108.6275","0.5208","1.5660","0.0000","0.0000","1.0000","110.1935","0.0090","0.0398"
"#Synesthesia","197","0.7360","2.3299","0.4264","1.7310","0.0000","0.0000","1.0000","4.0609","0.0355","0.1117"
"#Sepsis","14753","0.9598","190.5549","0.1438","1.5657","0.0000","0.0000","1.0000","192.1207","0.0130","0.1420"
"#MdrTB","70","0.9571","10.7000","0.1429","0.4429","0.0000","0.0000","1.0000","11.1429","0.0143","0.0714"
"unknown-#MMSM","1778","0.9089","5.4961","0.3015","1.4809","0.0000","0.0000","1.0000","6.9769","0.0124","0.1187"
"#ClusterHeadaches","231","0.7359","3.2165","0.4719","1.6926","0.0000","0.0000","1.0000","4.9091","0.1126","0.2165"
"#Andropause","28","0.7500","2.1429","0.2857","0.5000","0.0000","0.0000","1.0000","2.6429","0.2143","0.0000"
"#Neuropathy","400","0.7250","8.1600","0.4200","1.1900","0.0000","0.0000","1.0000","9.3500","0.0100","0.0375"
"#devlangdis","863","0.9224","13.3685","0.2225","1.6999","0.0000","0.0000","1.0000","15.0684","0.0336","0.3082"
"#Paget","10","0.8000","1.5000","0.6000","1.9000","0.0000","0.0000","1.0000","3.4000","0.1000","0.3000"
"#Arthritis","4717","0.8459","9.4043","0.3371","1.3184","0.0000","0.0000","1.0000","10.7227","0.0144","0.0918"
"unknown-#CryoGroup","3","1.0000","4.0000","0.3333","1.6667","0.0000","0.0000","1.0000","5.6667","0.0000","0.0000"
"#EColi","1333","0.8455","9.6294","0.3046","1.0345","0.0000","0.0000","1.0000","10.6639","0.0180","0.1110"
"#thyca","12","0.7500","2.2500","0.5000","2.1667","0.0000","0.0000","1.0000","4.4167","0.0000","0.4167"
"#GaucherDisease","4","1.0000","1.5000","0.5000","1.5000","0.0000","0.0000","1.0000","3.0000","0.0000","0.0000"
"#Sarcopenia","296","0.9223","7.8176","0.2669","1.4223","0.0000","0.0000","1.0000","9.2399","0.0101","0.2466"
"#LiverDisease","499","0.8818","7.6573","0.2665","1.0641","0.0000","0.0000","1.0000","8.7214","0.0080","0.0962"
"#Cerebral","55","0.8000","11.4545","0.3273","0.9273","0.0000","0.0000","1.0000","12.3818","0.0182","0.0000"
"#SkinCancer","3459","0.8887","23.6519","0.2538","1.1917","0.0000","0.0000","1.0000","24.8436","0.0043","0.0937"
"#colic","106","0.7830","2.1604","0.4717","1.0566","0.0000","0.0000","1.0000","3.2170","0.0094","0.0283"
"#EpidermolysisBullosa","241","0.9295","4.2863","0.3195","1.3527","0.0000","0.0000","1.0000","5.6390","0.0124","0.1037"
"#Amyloidosis","212","0.8915","5.1934","0.3255","2.0896","0.0000","0.0000","1.0000","7.2830","0.0189","0.1698"
"#Lymphoedema","1194","0.8626","5.9581","0.3124","1.1968","0.0000","0.0000","1.0000","7.1549","0.0159","0.1600"
"#Dialysis","1446","0.8949","59.1259","0.2510","1.3133","0.0000","0.0000","1.0000","60.4391","0.0097","0.1259"
"#peripheralarterydisease","158","0.9177","6.0127","0.2848","1.2468","0.0000","0.0000","1.0000","7.2595","0.0000","0.0949"
"#HunterSyndrome","66","0.9091","5.5000","0.2576","1.5455","0.0000","0.0000","1.0000","7.0455","0.0000","0.2121"
"#Hives","63","0.6349","1.9841","0.5238","1.7778","0.0000","0.0000","1.0000","3.7619","0.0159","0.0635"
"#Viruszika","2488","0.9377","13.6913","0.2086","1.0418","0.0000","0.0000","1.0000","14.7331","0.0092","0.1145"
"#Rhinitis","91","0.9011","8.3407","0.1868","0.4286","0.0000","0.0000","1.0000","8.7692","0.0220","0.0549"
"#Eczema","2894","0.8770","127.1482","0.2440","0.8296","0.0000","0.0000","1.0000","127.9779","0.0121","0.0563"
"#NeuroendocrineCancer","332","0.9367","14.0663","0.1898","1.1536","0.0000","0.0000","1.0000","15.2199","0.0120","0.1054"
"#IBS","2418","0.8495","13.8639","0.3433","1.5161","0.0000","0.0000","1.0000","15.3801","0.0182","0.1365"
"#glaucoma","1343","0.9047","10.3209","0.2316","0.9598","0.0000","0.0000","1.0000","11.2807","0.0030","0.0581"
"#MRSA","308","0.8766","26.9610","0.2305","0.8344","0.0000","0.0000","1.0000","27.7955","0.0130","0.0877"
"#StevensJohnsonSyndrome","5","0.8000","1.0000","0.4000","0.4000","0.0000","0.0000","1.0000","1.4000","0.0000","0.0000"
"#FMD","8692","0.8317","22.1402","0.3388","1.5250","0.0000","0.0000","1.0000","23.6652","0.0270","0.1115"
"#Dengue","2169","0.9497","18.0014","0.1595","1.0503","0.0000","0.0000","1.0000","19.0516","0.0074","0.1042"
"#Cachexia","84","0.9762","4.6190","0.0952","0.5476","0.0000","0.0000","1.0000","5.1667","0.0000","0.0238"
"#HeartDisease","3305","0.8832","17.6983","0.2808","1.4829","0.0000","0.0000","1.0000","19.1812","0.0118","0.1183"
"#AIDS","29329","0.9370","71.8576","0.1962","1.2606","0.0000","0.0000","1.0000","73.1181","0.0081","0.1402"
"unknown-#GenCSM","208","0.9567","6.9904","0.2115","1.0529","0.0000","0.0000","1.0000","8.0433","0.0192","0.2644"
"#Schizofrenie","2437","0.8781","10.9114","0.2593","1.7846","0.0000","0.0000","1.0000","12.6959","0.0172","0.0808"
"#IBD","7659","0.8807","26.0222","0.2876","1.9510","0.0000","0.0000","1.0000","27.9732","0.0225","0.1688"
"#HPV","5869","0.9530","50.9458","0.1530","1.1382","0.0000","0.0000","1.0000","52.0840","0.0193","0.1409"
"#VascularDisease","108","0.9907","64.5833","0.0741","1.7500","0.0000","0.0000","1.0000","66.3333","0.0185","0.0000"
"#Flu","4084","0.8976","15.1685","0.2358","1.1222","0.0000","0.0000","1.0000","16.2906","0.0122","0.1077"
"#BRCA","1508","0.9271","13.4808","0.2354","1.4861","0.0000","0.0000","1.0000","14.9668","0.0212","0.1671"
"#hayfever","2321","0.8208","121.5170","0.2895","1.1943","0.0000","0.0000","1.0000","122.7113","0.0177","0.0491"
"#PediatricStroke","181","0.8177","4.5525","0.3702","1.2762","0.0000","0.0000","1.0000","5.8287","0.0331","0.1878"
"#SleepApnea","962","0.8191","10.5884","0.3285","1.2256","0.0000","0.0000","1.0000","11.8139","0.0073","0.0541"
"#Tinnitus","1016","0.8445","10.9980","0.3248","1.2126","0.0000","0.0000","1.0000","12.2106","0.0138","0.0955"
"unknown-#hncsm","255","0.9686","6.4863","0.2078","1.1176","0.0000","0.0000","1.0000","7.6039","0.0078","0.1137"
"#A2ZCOPD","3549","0.9583","9.0034","0.2023","0.8633","0.0000","0.0000","1.0000","9.8667","0.0104","0.1372"
"#Osteosarcoma","111","0.7658","11.3243","0.3604","1.3423","0.0000","0.0000","1.0000","12.6667","0.0090","0.2883"
"#CervicalCancer","4683","0.9387","43.5981","0.1772","1.4674","0.0000","0.0000","1.0000","45.0656","0.0179","0.2432"
"#Angina","59","0.8305","4.2203","0.3559","1.9322","0.0000","0.0000","1.0000","6.1525","0.0169","0.1525"
"#Spondylitis","281","0.8826","6.4377","0.2883","1.4591","0.0000","0.0000","1.0000","7.8968","0.0107","0.1139"
"#AcuteCoronarySyndrome","19","1.0000","5.5789","0.2105","1.9474","0.0000","0.0000","1.0000","7.5263","0.0000","0.1579"
"#sjogrens","176","0.8920","5.9034","0.2443","1.2841","0.0000","0.0000","1.0000","7.1875","0.0511","0.0398"
"#HighCholesterol","132","0.8712","29.7197","0.2197","1.0606","0.0000","0.0000","1.0000","30.7803","0.0227","0.0758"
"#CHD","1645","0.8644","16.5775","0.2942","2.1380","0.0000","0.0000","1.0000","18.7155","0.0195","0.1830"
"#Restenosis","0","0","0","0","0","0","0","0","0",,
"#Scoliosis","856","0.8586","28.6086","0.2629","1.6075","0.0000","0.0000","1.0000","30.2161","0.0187","0.2348"
"unknown-#esocsm","25","0.9200","3.9200","0.2000","0.8800","0.0000","0.0000","1.0000","4.8000","0.0000","0.1600"
"#CHF","518","0.8089","6.8803","0.3707","1.3610","0.0000","0.0000","1.0000","8.2413","0.0251","0.0695"
"#Fibroid","968","0.8791","7.8171","0.2831","1.1725","0.0000","0.0000","1.0000","8.9897","0.0227","0.1074"
"#LynchSyndrome","325","0.8585","10.8585","0.2954","5.6800","0.0000","0.0000","1.0000","16.5385","0.0123","0.1292"
"#LQTS","54","0.9259","17.3889","0.1667","1.9074","0.0000","0.0000","1.0000","19.2963","0.0000","0.0741"
"#Meningitis","1148","0.9495","15.7953","0.1934","1.1429","0.0000","0.0000","1.0000","16.9382","0.0157","0.1594"
"#Diabesity","36852","0.8814","33.5034","0.2601","1.5480","0.0000","0.0000","1.0000","35.0514","0.0121","0.1400"
"#Moyamoya","170","0.8765","77.6941","0.1882","1.0235","0.0000","0.0000","1.0000","78.7176","0.0059","0.2412"
"#Bulimia","689","0.8418","6.5689","0.3353","1.6938","0.0000","0.0000","1.0000","8.2627","0.0073","0.1234"
"unknown-#GPFAD2013","0","0","0","0","0","0","0","0","0",,
"#myocarditis","50","0.9800","18.0600","0.1200","0.8200","0.0000","0.0000","1.0000","18.8800","0.0000","0.2000"
"#Hypothyroidism","547","0.8318","6.0841","0.3364","1.7002","0.0000","0.0000","1.0000","7.7843","0.0037","0.0475"
"#Alzheimer","24796","0.8947","50.3308","0.2343","1.9787","0.0000","0.0000","1.0000","52.3095","0.0165","0.1168"
"#Cholesteatoma","12","0.6667","0.6667","0.6667","1.6667","0.0000","0.0000","1.0000","2.3333","0.0000","0.0833"
"#Lipoedema","127","0.7638","2.7323","0.4331","1.3543","0.0000","0.0000","1.0000","4.0866","0.0630","0.2598"
"#AorticDissection","42","0.9048","3.5238","0.2619","2.8333","0.0000","0.0000","1.0000","6.3571","0.0476","0.3095"
"#Listeriosis","2101","0.9676","2091.4488","0.0814","0.3950","0.0000","0.0000","1.0000","2091.8439","0.0067","0.0876"
"#ThyroidCancer","345","0.8841","7.9391","0.2899","1.5217","0.0000","0.0000","1.0000","9.4609","0.0145","0.1391"
"#MuscularDystrophy","679","0.9072","5.1605","0.2725","1.4993","0.0000","0.0000","1.0000","6.6598","0.0059","0.1340"
"#Polio","2529","0.9597","35.8814","0.1420","1.4409","0.0000","0.0000","1.0000","37.3223","0.0095","0.1040"
"#Mastocytosis","18","0.7222","2.6667","0.4444","1.6111","0.0000","0.0000","1.0000","4.2778","0.0556","0.0000"
"#HemiplegicMigraine","27","0.8148","2.8889","0.4815","1.4815","0.0000","0.0000","1.0000","4.3704","0.0370","0.1481"
"#impotence","292","0.8973","348.5788","0.1541","0.3596","0.0000","0.0000","1.0000","348.9384","0.0171","0.0171"
"#EmanuelSyndrome","0","0","0","0","0","0","0","0","0",,
"unknown-#PNDChat","1535","0.8886","18.0039","0.2586","1.1010","0.0000","0.0000","1.0000","19.1049","0.0137","0.1668"
"#curesma","38","0.8684","2.5000","0.3421","2.0263","0.0000","0.0000","1.0000","4.5263","0.0000","0.0526"
"#Migraine","6051","0.8724","13.8285","0.2904","1.2096","0.0000","0.0000","1.0000","15.0380","0.0149","0.1211"
"#aHUS","93","0.8495","3.3548","0.3226","0.7634","0.0000","0.0000","1.0000","4.1183","0.0108","0.0968"
"#RettSyndrome","160","0.8750","5.0500","0.3125","1.6750","0.0000","0.0000","1.0000","6.7250","0.0063","0.1250"
"#BirdFlu","140","0.9000","9.7429","0.2500","2.4286","0.0000","0.0000","1.0000","12.1714","0.0214","0.0429"
"#analcancer","38","0.9211","4.6053","0.2105","1.2368","0.0000","0.0000","1.0000","5.8421","0.0263","0.2105"
"#Psoriasis","2083","0.8305","12.5833","0.3548","1.3639","0.0000","0.0000","1.0000","13.9472","0.0091","0.0494"
"#Gallbladder","74","0.6622","2.3243","0.4730","0.9595","0.0000","0.0000","1.0000","3.2838","0.0270","0.1081"
"unknown-#mpnsm","241","0.9336","3.6556","0.3361","1.3651","0.0000","0.0000","1.0000","5.0207","0.0000","0.1328"
"#Dysautonomia","345","0.6696","7.3072","0.4870","1.5652","0.0000","0.0000","1.0000","8.8725","0.0290","0.1826"
"#RenalFailure","38","0.8421","4.5526","0.3684","1.5000","0.0000","0.0000","1.0000","6.0526","0.0000","0.1053"
"#pseudobulbar","0","0","0","0","0","0","0","0","0",,
"#merkelcellcarcinoma","13","0.9231","3.9231","0.3846","2.0000","0.0000","0.0000","1.0000","5.9231","0.0000","0.0000"
"#Anaphylaxis","1024","0.8877","12.4238","0.2783","1.4521","0.0000","0.0000","1.0000","13.8760","0.0137","0.1543"
"#MultipleEndocrineNeoplasia","0","0","0","0","0","0","0","0","0",,
"#SARS","1899","0.9568","28.9668","0.1338","0.9747","0.0000","0.0000","1.0000","29.9415","0.0332","0.2054"
"#hypertrophiccardiomyopathy","19","0.8947","1.7368","0.3684","1.3158","0.0000","0.0000","1.0000","3.0526","0.0000","0.3158"
"#Incontinence","655","0.8168","7.6916","0.3496","1.2901","0.0000","0.0000","1.0000","8.9817","0.0168","0.1298"
"#TennisElbow","75","0.6000","2.4000","0.5333","1.2267","0.0000","0.0000","1.0000","3.6267","0.0000","0.0000"
"#AllergicRhinitis","36","0.9722","4.8333","0.2500","1.1944","0.0000","0.0000","1.0000","6.0278","0.0000","0.0000"
"#Menieres","28","0.5357","3.2500","0.5357","1.2857","0.0000","0.0000","1.0000","4.5357","0.1786","0.0000"
"#Progeria","184","0.9293","9.7609","0.2283","2.2826","0.0000","0.0000","1.0000","12.0435","0.0163","0.2989"
"#PCOS","2714","0.8150","8.6629","0.3589","1.6923","0.0000","0.0000","1.0000","10.3552","0.0195","0.1437"
"#Halitosis","55","0.8545","4.9273","0.3636","1.4000","0.0000","0.0000","1.0000","6.3273","0.0364","0.2545"
"#Trichotillomania","142","0.6620","1.8944","0.5563","1.3803","0.0000","0.0000","1.0000","3.2746","0.0211","0.1268"
"#Osteoporosis","2234","0.9024","16.8397","0.2234","0.9821","0.0000","0.0000","1.0000","17.8218","0.0076","0.1056"
"#irondeficiency","153","0.9020","3.6275","0.2876","0.8366","0.0000","0.0000","1.0000","4.4641","0.0000","0.0327"
"#MyalgicE","16240","0.9438","29.6769","0.1675","1.9736","0.0000","0.0000","1.0000","31.6505","0.0365","0.2535"
"#PainSomnia","285","0.8140","15.3860","0.3193","2.4737","0.0000","0.0000","1.0000","17.8596","0.0211","0.1649"
"#BloodCancer","1008","0.9187","19.0754","0.2401","1.6498","0.0000","0.0000","1.0000","20.7252","0.0119","0.2163"
"#Ebola","21605","0.9611","153.3423","0.1133","1.1914","0.0000","0.0000","1.0000","154.5337","0.0103","0.2199"
"#EyeCancer","160","0.9313","4.5063","0.2250","0.9750","0.0000","0.0000","1.0000","5.4813","0.0063","0.1875"
"#EatingDisorder","4889","0.8758","98.9530","0.2870","1.6144","0.0000","0.0000","1.0000","100.5674","0.0141","0.1759"
"#meningococcal","119","0.8908","18.9412","0.2689","1.4706","0.0000","0.0000","1.0000","20.4118","0.0000","0.0672"
"#KawasakiDisease","28","0.8214","2.5357","0.4286","1.3214","0.0000","0.0000","1.0000","3.8571","0.0357","0.1071"
"#hydrocephalus","211","0.8246","2.9621","0.4313","1.6493","0.0000","0.0000","1.0000","4.6114","0.0332","0.0948"
"#DownSyndrome","4491","0.9034","78.9929","0.2229","2.1211","0.0000","0.0000","1.0000","81.1140","0.0082","0.1434"
"#enuresis","22","0.8182","4.4545","0.4091","1.0455","0.0000","0.0000","1.0000","5.5000","0.0000","0.1364"
"#brucellosis","14","0.9286","2.2143","0.4286","1.2857","0.0000","0.0000","1.0000","3.5000","0.0000","0.2143"
"#Myositis","293","0.9249","6.6109","0.2662","1.1638","0.0000","0.0000","1.0000","7.7747","0.0068","0.1604"
"#Triglycerides","55","0.8364","7.6364","0.3091","0.7636","0.0000","0.0000","1.0000","8.4000","0.0545","0.0364"
"#ringworm","41","0.8049","10.5854","0.2195","0.8293","0.0000","0.0000","1.0000","11.4146","0.0000","0.0732"
"#neurofibromatosis","605","0.9074","6.5339","0.2959","1.5372","0.0000","0.0000","1.0000","8.0711","0.0165","0.1636"
"#CFLN","7637","0.9294","19.5682","0.2065","1.6548","0.0000","0.0000","1.0000","21.2230","0.0151","0.2667"
"#hypospadias","17","0.8235","2.5882","0.2353","0.9412","0.0000","0.0000","1.0000","3.5294","0.0000","0.1176"
"#Leukaemia","3947","0.9324","20.8551","0.2131","1.2184","0.0000","0.0000","1.0000","22.0735","0.0068","0.1206"
"unknown-#stcsm","111","0.9189","6.7568","0.2973","1.6396","0.0000","0.0000","1.0000","8.3964","0.0090","0.1261"
"#BloodClot","209","0.9522","23.4689","0.1722","0.8038","0.0000","0.0000","1.0000","24.2727","0.0096","0.1005"
"#MultScler","4830","0.8429","13.7911","0.3408","2.1004","0.0000","0.0000","1.0000","15.8915","0.0116","0.1298"
"#BMFSM","5","1.0000","3.4000","0.4000","1.6000","0.0000","0.0000","1.0000","5.0000","0.0000","0.0000"
"#TransverseMyelitis","34","0.9118","3.7647","0.3235","2.1765","0.0000","0.0000","1.0000","5.9412","0.0882","0.3529"
"#BrainAneurysm","103","0.8738","4.4175","0.3495","2.4563","0.0000","0.0000","1.0000","6.8738","0.0000","0.2330"
"#Dermatomyositis","82","0.8049","3.5610","0.4268","1.5244","0.0000","0.0000","1.0000","5.0854","0.0366","0.1585"
"#Haemophilia","965","0.8902","7.1503","0.3140","1.5337","0.0000","0.0000","1.0000","8.6839","0.0155","0.1689"
"#Angiosarcoma","36","0.8889","2.7778","0.2500","3.0833","0.0000","0.0000","1.0000","5.8611","0.0556","0.0833"
"#uterinecancer","54","0.7222","3.0556","0.4259","2.2222","0.0000","0.0000","1.0000","5.2778","0.0370","0.2037"
"#NCDs","5315","0.9560","23.5496","0.1691","1.2160","0.0000","0.0000","1.0000","24.7656","0.0100","0.2024"
"#HighBloodPressure","4980","0.9116","18.7894","0.2311","1.0944","0.0000","0.0000","1.0000","19.8837","0.0167","0.0827"
"#Diverticulitis","93","0.9032","15.8172","0.2151","0.8710","0.0000","0.0000","1.0000","16.6882","0.0215","0.1935"
"#Hantavirus","69","0.9420","25.5942","0.2319","1.4203","0.0000","0.0000","1.0000","27.0145","0.0000","0.1014"
"#Carcinoma","127","0.8346","6.8976","0.3150","1.0079","0.0000","0.0000","1.0000","7.9055","0.0079","0.1417"
"#DeviatedSeptum","6","0.3333","2.0000","0.6667","1.5000","0.0000","0.0000","1.0000","3.5000","0.1667","0.0000"
"#PulmonaryHypertension","591","0.8968","6.0102","0.2995","1.5008","0.0000","0.0000","1.0000","7.5110","0.0102","0.0964"
"#osteonecrosis","23","0.9565","21.7391","0.1304","2.3913","0.0000","0.0000","1.0000","24.1304","0.0000","0.0000"
"#Eclampsia","4","0.5000","1.0000","0.7500","2.7500","0.0000","0.0000","1.0000","3.7500","0.0000","0.0000"
"#prostatitis","66","0.8030","4.6061","0.3636","0.9697","0.0000","0.0000","1.0000","5.5758","0.0152","0.0606"
"#Neuroblastoma","1644","0.9726","28.5955","0.1758","2.0712","0.0000","0.0000","1.0000","30.6667","0.0103","0.1959"
"#Raynauds","162","0.8395","2.7160","0.4074","1.8765","0.0000","0.0000","1.0000","4.5926","0.0556","0.0494"
"#CarpalTunnelSyndrome","79","0.7089","2.6203","0.4684","1.4304","0.0000","0.0000","1.0000","4.0506","0.0127","0.1899"
"#PTSD","27564","0.9133","248.6486","0.2025","1.3753","0.0000","0.0000","1.0000","250.0238","0.0214","0.1327"
"#ARDS45","0","0","0","0","0","0","0","0","0",,
"#Encephalitis","370","0.9135","15.4081","0.2703","2.0135","0.0000","0.0000","1.0000","17.4216","0.0000","0.1649"
"#erectiledysfunction","1206","0.8756","227.3466","0.1949","0.5547","0.0000","0.0000","1.0000","227.9013","0.0066","0.0846"
"#PMDD","1155","0.8597","4.8355","0.3247","1.4918","0.0000","0.0000","1.0000","6.3273","0.0693","0.2329"
"#Vasculitis","372","0.9059","9.0565","0.2581","1.2285","0.0000","0.0000","1.0000","10.2849","0.0323","0.1022"
"#HendraVirus","0","0","0","0","0","0","0","0","0",,
"#RectalCancer","449","0.9777","15.1002","0.1336","1.2873","0.0000","0.0000","1.0000","16.3875","0.0022","0.1804"
"unknown-#BTSM","4190","0.8764","9.4002","0.2819","1.6296","0.0000","0.0000","1.0000","11.0298","0.0401","0.1764"
"#Herpes","313","0.7188","11.8019","0.4153","1.0639","0.0000","0.0000","1.0000","12.8658","0.0671","0.1086"
"#fragileX","353","0.8895","30.5751","0.2578","2.1983","0.0000","0.0000","1.0000","32.7734","0.0510","0.3938"
"#BrainCancer","1780","0.9191","56.2253","0.2112","1.2326","0.0000","0.0000","1.0000","57.4579","0.0107","0.1719"
"#Nocturia","93","0.9355","4.1720","0.2366","0.8817","0.0000","0.0000","1.0000","5.0538","0.0000","0.0000"
"#BattenDisease","84","0.9167","21.5714","0.2976","2.3452","0.0000","0.0000","1.0000","23.9167","0.0238","0.2381"
"#Aspergers","2759","0.8746","308.6905","0.2856","2.3447","0.0000","0.0000","1.0000","311.0352","0.0181","0.1812"
"#Bronchitis","166","0.8253","6.6928","0.3253","2.0663","0.0000","0.0000","1.0000","8.7590","0.0060","0.0120"
"#OCD","4857","0.6881","17.4690","0.4412","2.1083","0.0000","0.0000","1.0000","19.5773","0.0525","0.0972"
"#headandneckcancer","251","0.9203","4.0996","0.3108","1.2869","0.0000","0.0000","1.0000","5.3865","0.0040","0.1315"
"#Infertility","4406","0.7848","6.0302","0.3940","1.5897","0.0000","0.0000","1.0000","7.6198","0.0118","0.1223"
"#Chikungunya","715","0.9552","84.6685","0.1231","2.7021","0.0000","0.0000","1.0000","87.3706","0.0056","0.2881"
